Team,Budget,LogoURL
CSK,90,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Chennai_Super_Kings_Logo.svg/900px-Chennai_Super_Kings_Logo.svg.png
DC,90,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Delhi_Capitals.svg/900px-Delhi_Capitals.svg.png
GT,90,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Gujarat_Titans_Logo.svg/900px-Gujarat_Titans_Logo.svg.png
KKR,90,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/Kolkata_Knight_Riders_Logo.svg/900px-Kolkata_Knight_Riders_Logo.svg.png
LSG,90,https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Lucknow_Super_Giants_IPL_Logo.svg/900px-Lucknow_Super_Giants_IPL_Logo.svg.png
MI,90,https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Mumbai_Indians_Logo.svg/900px-Mumbai_Indians_Logo.svg.png
PBKS,90,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Punjab_Kings_Logo.svg/900px-Punjab_Kings_Logo.svg.png
RCB,90,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Royal_Challengers_Bengaluru_Logo.svg/900px-Royal_Challengers_Bengaluru_Logo.svg.png
RR,90,https://upload.wikimedia.org/wikipedia/hi/6/60/Rajasthan_Royals_Logo.svg
SRH,90,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Sunrisers_Hyderabad_Logo.svg/900px-Sunrisers_Hyderabad_Logo.svg.png
